epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,512.787,1.40083,1.87311,1.74558,0.30807,0.27778,0.18119,0.06815,2.31059,3.34874,3.01647,0.00111074,0.00111074,0.00111074
17,539.91,1.44339,1.86853,1.67816,0.27922,0.13889,0.09353,0.02655,2.78546,4.09488,3.28654,0.00114778,0.00114778,0.00114778
18,566.447,1.437,1.72113,1.64325,0.1985,0.27778,0.11581,0.046,2.32577,3.45864,2.7467,0.00118085,0.00118085,0.00118085
19,593.896,1.40152,1.76386,1.69387,0.21708,0.22222,0.15609,0.08559,2.03835,3.15975,2.53466,0.00120997,0.00120997,0.00120997
20,622.283,1.36273,1.72385,1.67544,0.44407,0.25,0.23643,0.10736,2.07599,3.24417,3.03323,0.00123512,0.00123512,0.00123512
21,649.289,1.4627,1.81755,1.69988,0.40358,0.31978,0.2523,0.08567,2.24527,3.69825,3.12881,0.001208,0.001208,0.001208
22,675.878,1.38736,1.73371,1.5974,0.25462,0.36111,0.18766,0.06667,2.24944,3.41899,2.84854,0.0011684,0.0011684,0.0011684
23,703.573,1.36053,1.61384,1.62659,0.16015,0.27778,0.10291,0.04367,2.22316,3.70953,2.7846,0.0011288,0.0011288,0.0011288
24,730.832,1.3831,1.63531,1.63296,0.15188,0.19444,0.10052,0.0408,2.27046,3.95635,2.81929,0.0010892,0.0010892,0.0010892
25,758.059,1.27856,1.49814,1.58125,0.17016,0.13889,0.10718,0.03955,2.36952,4.15236,2.90239,0.0010496,0.0010496,0.0010496
26,784.843,1.32632,1.64175,1.57823,0.19362,0.19444,0.11361,0.02446,2.48814,4.35657,2.98761,0.00101,0.00101,0.00101
27,811.632,1.40008,1.47769,1.64135,0.13882,0.13889,0.07395,0.01272,2.67611,5.24352,3.04423,0.0009704,0.0009704,0.0009704
28,838.467,1.33136,1.54187,1.63333,0.21026,0.22222,0.10135,0.02468,2.50311,4.57834,2.94718,0.0009308,0.0009308,0.0009308
29,865.099,1.21395,1.44848,1.49914,0.17154,0.13889,0.09014,0.03209,2.5587,4.38174,3.01838,0.0008912,0.0008912,0.0008912
30,892.21,1.24663,1.39938,1.55229,0.22185,0.27778,0.15686,0.04932,2.57889,4.55444,3.03282,0.0008516,0.0008516,0.0008516
31,920.177,1.2485,1.38468,1.46475,0.31099,0.11111,0.11476,0.03757,2.72376,5.95717,3.17318,0.000812,0.000812,0.000812
32,947.167,1.20302,1.31688,1.47022,0.27325,0.19444,0.15059,0.06542,2.47003,5.07351,2.78847,0.0007724,0.0007724,0.0007724
33,973.666,1.29697,1.46033,1.55354,0.45131,0.13889,0.15147,0.06407,2.36833,3.97896,2.75346,0.0007328,0.0007328,0.0007328
34,1001.22,1.14668,1.36921,1.48838,0.28698,0.25,0.16703,0.06617,2.32858,3.5351,2.89959,0.0006932,0.0006932,0.0006932
35,1029.36,1.26539,1.37781,1.55831,0.33093,0.27778,0.19782,0.09282,2.21683,3.05682,2.84041,0.0006536,0.0006536,0.0006536
36,1057.28,1.15089,1.28645,1.46475,0.27067,0.33333,0.1973,0.11436,2.07681,2.73353,2.52278,0.000614,0.000614,0.000614
37,1084.52,1.26137,1.3702,1.52289,0.2342,0.36536,0.20358,0.11059,2.01594,2.79215,2.43764,0.0005744,0.0005744,0.0005744
38,1111.28,1.13242,1.24461,1.45211,0.21126,0.30556,0.18639,0.11199,2.02816,2.79397,2.52225,0.0005348,0.0005348,0.0005348
39,1138.16,1.10605,1.21945,1.43761,0.16484,0.30704,0.19288,0.12123,2.04854,2.87195,2.57144,0.0004952,0.0004952,0.0004952
40,1166.6,1.11547,1.25416,1.43042,0.3387,0.31316,0.24599,0.14579,1.98323,2.61691,2.5303,0.0004556,0.0004556,0.0004556
41,1194.59,1.17579,1.75035,1.55037,0.40076,0.41667,0.30697,0.15258,1.96991,2.52636,2.6002,0.000416,0.000416,0.000416
42,1221.14,1.18272,1.70606,1.56711,0.44469,0.38889,0.26688,0.13017,1.96438,2.66279,2.58473,0.0003764,0.0003764,0.0003764
43,1247.04,1.08675,1.59087,1.46331,0.29389,0.36111,0.24061,0.11119,1.97805,2.75088,2.62303,0.0003368,0.0003368,0.0003368
44,1272.82,1.07372,1.42491,1.51547,0.47703,0.41667,0.34645,0.16759,1.98157,2.56688,2.68938,0.0002972,0.0002972,0.0002972
45,1298.74,0.99212,1.3481,1.44683,0.55283,0.33333,0.34454,0.18188,1.96617,2.50011,2.66377,0.0002576,0.0002576,0.0002576
46,1324.98,1.03447,1.40478,1.44913,0.409,0.44444,0.32535,0.1824,1.96243,2.31336,2.62842,0.000218,0.000218,0.000218
47,1351.29,0.97385,1.31731,1.35833,0.49961,0.44377,0.34431,0.17788,1.91489,2.31356,2.51519,0.0001784,0.0001784,0.0001784
48,1377.9,1.00242,1.36366,1.43209,0.48828,0.38889,0.35116,0.17297,1.94028,2.40076,2.39521,0.0001388,0.0001388,0.0001388
49,1403.39,0.88899,1.25844,1.33705,0.39767,0.5,0.3475,0.16986,1.97632,2.43305,2.40306,9.92e-05,9.92e-05,9.92e-05
50,1429.32,0.92583,1.248,1.33067,0.39156,0.50055,0.38486,0.17236,1.98225,2.42553,2.41676,5.96e-05,5.96e-05,5.96e-05
