epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6841,1.63867,2.81539,1.88605,0.00524,0.91667,0.04165,0.01362,1.58885,3.26838,1.93211,8e-05,8e-05,8e-05
2,61.2962,1.47516,2.71343,1.79701,0.00492,0.86111,0.20935,0.11878,1.57624,3.30629,1.91445,0.000176436,0.000176436,0.000176436
3,89.3096,1.3611,2.62977,1.72573,0.00524,0.91667,0.27886,0.17304,1.72884,3.37896,2.10879,0.000268912,0.000268912,0.000268912
4,116.65,1.40407,2.50036,1.76983,0.00524,0.91667,0.26445,0.11991,1.94367,3.33454,2.31302,0.000357428,0.000357428,0.000357428
5,143.896,1.44951,2.39689,1.7929,0.00571,1,0.28053,0.11957,1.79855,3.34943,2.17406,0.000441984,0.000441984,0.000441984
6,237.649,1.46909,2.32845,1.75248,0.00556,0.97222,0.31334,0.13327,1.73438,3.29761,2.16971,0.00052258,0.00052258,0.00052258
7,267.194,1.45828,2.21596,1.79111,0.60427,0.13889,0.26946,0.08661,2.05556,3.38447,2.7195,0.000599216,0.000599216,0.000599216
8,295.725,1.45923,2.10801,1.74874,0.59118,0.16667,0.30992,0.09271,2.01381,3.32992,2.66363,0.000671892,0.000671892,0.000671892
9,323.434,1.46787,1.99846,1.73023,0.37565,0.19444,0.25783,0.12171,2.11643,3.26401,2.73725,0.000740608,0.000740608,0.000740608
10,350.556,1.4905,2.00493,1.77037,0.36419,0.1911,0.22066,0.11381,1.98487,3.29521,2.50897,0.000805364,0.000805364,0.000805364
11,377.595,1.40266,1.87956,1.70134,0.39609,0.19444,0.17386,0.08287,1.95517,3.23456,2.53692,0.00086616,0.00086616,0.00086616
12,404.264,1.44814,1.92278,1.77801,0.17478,0.08333,0.14761,0.06628,1.91736,3.22341,2.43331,0.000922996,0.000922996,0.000922996
13,431.706,1.50551,1.93443,1.76294,0.13761,0.13889,0.08473,0.02678,2.20829,3.5526,2.58894,0.000975872,0.000975872,0.000975872
14,459.215,1.3887,1.83788,1.63778,0.07697,0.11111,0.03793,0.0115,2.70121,4.14479,3.03517,0.00102479,0.00102479,0.00102479
15,486.025,1.4045,1.83546,1.68535,0.50947,0.26,0.19978,0.08804,2.21332,3.35189,2.80507,0.00106974,0.00106974,0.00106974
